anio,E,I,X_fija,X,K,K_patentes,A,Dp,conexion,G_mundo,P
1960,,,,0.0,,,,,,,0.0
1961,,,,,,,,,,3.91381807548518,0.0
1962,,,,,,,,,,5.32119155001325,0.0
1963,,,,,,,,,,5.01948574251753,0.0
1964,,,,,,,,,,6.62973289506179,0.0
1965,43360.309,,,0.0,,,,,,5.63094784595984,0.0
1966,45732.449,,5.15286869042579,,,,,,,5.41888566542343,0.0
1967,47410.555,,5.11087772304316,,,,,,,3.73806601134913,0.0
1968,50246.746,,5.06740420631667,,,,,,,5.94722298911074,0.0
1969,53700.402,,5.02290622040923,,,,,,,5.96131448055353,0.0
1970,57177.613,,,0.0,,,,,,3.76536422839344,0.0
1971,59438.562,,6.08247084298694,,,,,,,4.1089784450586,0.0
1972,62703.992,,6.02587309966067,,,,,,,5.53776177849556,0.0
1973,66337.648,,5.969107416639,,,,,,,6.45772701682566,1.0
1974,66696.508,,5.91181196511641,,,,,,,1.99190710306105,0.0
1975,67157.297,,6.016520756788,0.0,,,,,,0.81448328160532,0.0
1976,70744.766,,6.23985288356994,0.0,,,,,,5.22120338591516,0.0
1977,73306.172,,6.53343536331308,0.0,,,,,,3.94144875757631,0.0
1978,76179.039,,6.85946322807689,0.0,,,,,,4.13711682010359,0.0
1979,78698.641,,7.15804404998912,0.0,,,,,,4.14087732068609,0.0
1980,78010.562,,7.52038003005678,0.000532358559438635,,,,,,1.81532833044595,0.0
1981,77654.789,,7.6891033260879,0.00149080916855492,,,,,,1.88817492087733,0.0
1982,77277.594,,7.72706100511163,0.00233559509404133,,,,,,0.411099684969287,0.0
1983,78599.125,,7.91241029175042,0.00339190468402233,,,,,,2.57687545199074,0.0
1984,82129.477,,8.12369577478133,0.0068745853786207,,,,,,4.72811948188732,0.0
1985,84332.883,,8.35648460634685,0.0159033980583526,,651100.0,,,,3.65992562860681,0.0
1986,86200.781,,8.55391625617008,0.0296054334675087,,675000.0,,,,3.30504727863539,0.0
1987,89321.43,,8.79935476810206,0.0509862421679631,,712400.0,,,,3.75140720504533,1.0
1988,92666.555,,9.10447895596173,0.085113214682445,,714900.0,,,,4.52917512483202,0.0
1989,94454.031,,9.42237606934639,0.14208967899789,,705400.0,,,,3.63824326258279,0.0
1990,95856.289,,9.78722778997853,0.211594271247073,,687700.0,3.48578101364339,2.85914236868765,0.04940854536308459,2.70835661034906,0.0
1991,96516.406,,10.0977415841462,0.302299140293289,,601000.0,3.4899135225760403,2.86921212939697,,1.22518126757618,1.0
1992,97104.883,,10.4315487150253,0.427741587995374,,635700.0,3.49582247347924,2.87307968781941,,2.06322489260802,0.0
1993,97894.812,124.0,10.8446563082169,0.61917529433752,,649200.0,3.5048437773394303,2.86027741410912,,1.85802699127092,0.0
1994,99137.25,170.0,11.3857056737786,0.991495034555743,,637000.0,3.51703638502747,2.90121745494661,,3.41622758531712,0.0
1995,101315.359,170.0,12.0236557468062,1.58624957062705,,702900.0,3.53156032740641,2.8989125262234,0.7808271589935497,3.17807321635462,0.0
1996,104245.836,368.2,12.7130832320746,2.49966341127963,984772.956001849,707700.0,3.54780861279224,2.92865301068667,1.3237222735953746,3.58623401800118,0.0
1997,105269.266,1338.0,13.4562542207523,3.65525621935149,1014839.66648533,737100.0,3.56431533358714,2.9500264881275498,2.0236000531563905,3.99678915639295,0.0
1998,105852.398,1338.0,14.0493624282676,5.33358304332039,1020434.31478902,756400.0,3.58200874698252,2.97533053085419,3.1012694889569206,2.78125282205437,0.0
1999,107613.984,2379.0,14.9570311828644,8.12312872482729,1020792.90535782,791400.0,3.60071105312285,3.00825363229522,4.564131778855023,3.57856819120765,0.0
2000,110416.398,4938.0,15.9108290712127,,1070966.85360373,874800.0,3.6180854619637,3.0291914674963403,6.6553482369819905,4.56720186018067,0.0
2001,111493.289,7226.0,16.6591080824512,,1109574.16046353,896400.0,3.63050183122141,3.04976183774863,7.9473544656733,2.02994447591411,1.0
2002,113894.43,35860.0,17.2203942396945,,1154717.04255728,888900.0,3.6420214468735,3.08930045869245,10.371015154817673,2.31891535273219,0.0
2003,117849.602,35860.0,17.8286334578858,,1213774.64833412,924800.0,3.6488932398356195,3.1115369022073898,12.034046678712853,3.07416318395302,0.0
