iso3,anio,A,Dp,conexion,pob
AFG,1990,4.246852,3.045243,0.0,12045660.0
AFG,1991,4.218643,3.057498,,12238879.0
AFG,1992,4.183842,3.049826,,13278974.0
AFG,1993,4.109785,3.006865,,14943172.0
AFG,1994,4.024815,2.976084,,16250794.0
AFG,1995,3.953906,2.933166,,17065836.0
AFG,1996,3.890441,2.892987,,17763266.0
AFG,1997,3.834337,2.866967,,18452091.0
AFG,1998,3.79679,2.839497,,19159996.0
AFG,1999,3.775308,2.811069,,19887785.0
AFG,2000,3.764579,2.80837,,20130327.0
AFG,2001,3.765069,2.798874,0.00472256824217368,20284307.0
AFG,2002,3.778146,2.771996,0.00456139517022146,21378117.0
AFG,2003,3.778798,2.770505,0.0878912528559713,22733049.0
AFG,2004,3.769843,2.76533,0.105809030021958,23560654.0
AFG,2005,3.768562,2.776365,1.22414808372471,24404567.0
AFG,2006,3.762795,2.803807,2.10712364546412,25424094.0
AFG,2007,3.755781,2.831328,1.899999976,25909852.0
AFG,2008,3.750363,2.871205,1.84,26482622.0
AFG,2009,3.736532,2.917674,3.55,27466101.0
AFG,2010,3.726553,2.952634,4.0,28284089.0
AFG,2011,3.717045,2.991458,5.0,29347708.0
AFG,2012,3.726803,3.029338,5.454500198,30560034.0
AFG,2013,3.748043,3.070745,5.900000095,31622704.0
AFG,2014,3.786547,3.118964,7.0,32792523.0
AFG,2015,3.825846,3.15984,8.260000229,33831764.0
AFG,2016,3.853078,3.195102,11.0,34700612.0
AFG,2017,3.898044,3.231419,13.5,35688935.0
AFG,2018,3.935593,3.268316,16.79999924,36743039.0
AFG,2019,3.978251,3.299684,17.60000038,37856121.0
AFG,2020,5.147522,4.179289,17.04850006,39068979.0
AFG,2021,5.3155,4.282116,16.51429939,40000412.0
AFG,2022,5.462312,4.069591,15.86629963,40578842.0
AFG,2023,6.503549,4.153807,15.92840004,41454761.0
AGO,1990,4.884171,3.701255,0.0,11626360.0
AGO,1991,4.889543,3.669005,,12023529.0
AGO,1992,4.894188,3.690636,,12423712.0
AGO,1993,4.912762,3.707259,,12827135.0
AGO,1994,4.947191,3.686679,,13249764.0
AGO,1995,4.983731,3.663588,,13699778.0
AGO,1996,5.020792,3.63507,0.000776,14170973.0
AGO,1997,5.058559,3.624227,0.00567,14660413.0
AGO,1998,5.107,3.63035,0.0185,15159370.0
AGO,1999,5.165796,3.642152,0.072,15667235.0
AGO,2000,5.22392,3.66267,0.105045562462262,16194869.0
AGO,2001,5.259524,3.70454,0.136013867429868,16747208.0
AGO,2002,5.294574,3.68709,0.270376745595134,17327699.0
AGO,2003,5.313081,3.657041,0.370682065225727,17943712.0
AGO,2004,5.314229,3.642709,0.464814617985909,18600423.0
AGO,2005,5.313866,3.605497,1.143399954,19291161.0
AGO,2006,5.313691,3.559905,1.5,20015279.0
AGO,2007,5.316825,3.584572,1.700000048,20778561.0
AGO,2008,5.310224,3.534859,1.899999976,21578655.0
AGO,2009,5.294909,3.569512,2.299999952,22414773.0
AGO,2010,5.283048,3.55442,2.799999952,23294825.0
AGO,2011,5.27092,3.514719,4.699999809,24218352.0
AGO,2012,5.269986,3.461282,7.699999809,25177394.0
AGO,2013,5.290032,3.51068,13.0,26165620.0
AGO,2014,5.296444,3.325249,21.3623407584103,27160769.0
AGO,2015,5.313938,3.471147,22.0,28157798.0
AGO,2016,5.353989,3.500989,23.20000076,29183070.0
AGO,2017,5.353341,3.509748,26.0,30234839.0
AGO,2018,5.312664,3.613593,29.0,31297155.0
AGO,2019,5.270092,3.660913,32.12939835,32375632.0
