Country,Admin1,SubDiv,Year,List,Cause,Sex,Frmat,IM_Frmat,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Deaths6,Deaths7,Deaths8,Deaths9,Deaths10,Deaths11,Deaths12,Deaths13,Deaths14,Deaths15,Deaths16,Deaths17,Deaths18,Deaths19,Deaths20,Deaths21,Deaths22,Deaths23,Deaths24,Deaths25,Deaths26,IM_Deaths1,IM_Deaths2,IM_Deaths3,IM_Deaths4
2210,,,2018,104,C499,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,R54,1,09,09,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,I64,1,09,09,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,C920,1,09,09,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,X49,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,P000,1,09,09,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,G319,1,09,09,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,C399,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,F107,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,W19,1,09,09,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,I248,1,09,09,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,N185,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,K269,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,A419,1,09,09,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,E102,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,Q042,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,G931,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,Y24,1,09,09,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,P369,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,C809,1,09,09,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,D45,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,I258,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,X64,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,I639,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,P011,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,I132,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,A039,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,W80,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,R53,1,09,09,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,P293,1,09,09,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,X590,1,09,09,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,K562,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,D65,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,I500,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,I350,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,I519,1,09,09,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,C139,1,09,09,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,B201,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,J111,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,J841,1,09,09,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,R959,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,J449,1,09,09,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,E162,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,P239,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,Q411,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,P280,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,C269,1,09,09,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,AAA,1,09,09,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,I269,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,K259,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,C679,1,09,09,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,V892,1,09,09,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,P219,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,C169,1,09,09,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,C900,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,L899,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,X09,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,2018,104,K810,1,09,09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
