anio,E,I,X,K,A,Dp,conexion,P
1960,,,0.0,,,,,0.0
1965,43360.309,,0.0,,,,,0.0
1966,45732.449,,,,,,,0.0
1967,47410.555,,,,,,,0.0
1968,50246.746,,,,,,,0.0
1969,53700.402,,,,,,,0.0
1970,57177.613,,0.0,,,,,0.0
1971,59438.562,,,,,,,0.0
1972,62703.992,,,,,,,0.0
1973,66337.648,,,,,,,1.0
1974,66696.508,,,,,,,0.0
1975,67157.297,,0.0,,,,,0.0
1976,70744.766,,0.0,,,,,0.0
1977,73306.172,,0.0,,,,,0.0
1978,76179.039,,0.0,,,,,0.0
1979,78698.641,,0.0,,,,,0.0
1980,78010.562,,0.000532358559438635,,,,,0.0
1981,77654.789,,0.00149080916855492,,,,,0.0
1982,77277.594,,0.00233559509404133,,,,,0.0
1983,78599.125,,0.00339190468402233,,,,,0.0
1984,82129.477,,0.0068745853786207,,,,,0.0
1985,84332.883,,0.0159033980583526,,,,,0.0
1986,86200.781,,0.0296054334675087,,,,,0.0
1987,89321.43,,0.0509862421679631,,,,,1.0
1988,92666.555,,0.085113214682445,,,,,0.0
1989,94454.031,,0.14208967899789,,,,,0.0
1990,95856.289,,0.211594271247073,,3.48578101364339,2.85914236868765,,0.0
1991,96516.406,,0.302299140293289,,3.4899135225760403,2.86921212939697,,1.0
1992,97104.883,,0.427741587995374,,3.49582247347924,2.87307968781941,,0.0
1993,97894.812,124.0,0.61917529433752,,3.5048437773394303,2.86027741410912,,0.0
1994,99137.25,170.0,0.991495034555743,,3.51703638502747,2.90121745494661,,0.0
1995,101315.359,170.0,1.58624957062705,,3.53156032740641,2.8989125262234,,0.0
1996,104245.836,368.2,2.49966341127963,984772.956001849,3.54780861279224,2.92865301068667,,0.0
1997,105269.266,1338.0,3.65525621935149,1014839.66648533,3.56431533358714,2.9500264881275498,,0.0
1998,105852.398,1338.0,5.33358304332039,1020434.31478902,3.58200874698252,2.97533053085419,,0.0
1999,107613.984,2379.0,8.12312872482729,1020792.90535782,3.60071105312285,3.00825363229522,,0.0
2000,110416.398,4938.0,,1070966.85360373,3.6180854619637,3.0291914674963403,,0.0
2001,111493.289,7226.0,,1109574.16046353,3.63050183122141,3.04976183774863,,1.0
2002,113894.43,35860.0,,1154717.04255728,3.6420214468735,3.08930045869245,,0.0
2003,117849.602,35860.0,,1213774.64833412,3.6488932398356195,3.1115369022073898,,0.0
2004,123841.742,70720.0,,1324893.83591593,3.65126921677072,3.1435973825971604,,0.0
2005,127936.719,280600.0,33.9,1484401.42391517,3.6530775666879802,3.1655500541319403,15.6,0.0
2006,131481.203,280600.0,41.7,1570080.86139205,3.65469168011106,3.1898897180713397,17.2,0.0
2007,135617.984,478200.0,50.6,1636695.52060804,3.65691201606802,3.2267310749871605,20.2,0.0
2008,137229.406,1105000.0,59.7,1725502.0945321,3.6565463282954203,3.23498948154929,22.8,1.0
2009,135033.219,1759000.0,68.0,1827111.00620426,3.6575823676644803,3.26952269206753,25.3,0.0
2010,141602.047,2566000.0,76.6,1909442.19283406,3.6572725945209097,3.28534956257458,28.4,0.0
2011,144913.297,10510000.0,84.2,2003515.26920193,3.67244216365451,3.30615128581881,30.9,0.0
2012,147002.422,17590000.0,88.5,2062566.08557863,3.69701107764139,3.3210797034645196,33.3,0.0
2013,149599.734,33862700.0,93.1,2125847.59563208,3.72844994980794,3.33177789649855,35.3,0.0
2014,151239.172,33862700.0,96.7,2195343.61038091,3.7750870311787303,3.35593022247705,37.4,0.0
2015,152357.625,33862700.0,96.1,2252543.20994293,3.83425332747378,3.3720872579579,39.9,0.0
2016,154221.484,93014590.0,99.3,2336756.55050175,3.89081346281288,3.40178589924402,43.6,0.0
2017,157625.312,93014590.0,101.4,2425390.12790655,3.9504488756411598,3.4207237136838904,46.3,0.0
2018,161806.125,143500000.0,103.1,2522113.1141451,4.008890534864229,3.43815548148513,49.4,0.0
2019,163694.609,148600000.0,105.9,2708530.72191524,4.07270975182083,3.4606202944738698,53.9,0.0
2020,157993.891,442010000.0,104.8,2868012.70901148,4.93837786103644,4.03654731369062,60.1,1.0
2021,166043.5,442010000.0,106.7,3111012.81829436,5.041423209393,4.07596216180809,63.8,0.0
2022,169061.531,1102000000.0,108.0,3220952.46126375,5.24445596766292,4.05074544406117,67.0,0.0
2023,172238.781,1194000000.0,109.8,3271296.24439727,6.00970900679137,4.12225224561309,69.2,0.0
2024,176737.094,1742000000.0,110.4,,,,71.2,0.0
2025,,1809000000.0,111.5,,,,73.6,0.0
