anio,CIDI,HDF
1990,,-0.8940505887227432
1991,,-0.8760629244631135
1992,,-0.8653285772981656
1993,,-0.8755606235095449
1994,,-0.8065089380828561
1995,,-0.7969319903241356
1996,1.0,-0.7402273312451266
1997,1.5334803131289099,-0.695200323505617
1998,1.6900524997772186,-0.6435295540612788
1999,2.177163253990012,-0.580123612798033
2000,,-0.5349484366838231
2001,,-0.49468513502419353
2002,,-0.42822344623419306
2003,,-0.39049746713945643
2004,,-0.34277147438276057
2005,11.758947385450847,-0.30993157834963986
2006,12.644810224796748,-0.2738668851360154
2007,15.440852693766766,-0.21947538301458405
2008,20.164375860427924,-0.2080472144949614
2009,23.640411931812956,-0.15798861745632373
2010,27.38579357022308,-0.13574087142992328
2011,40.608213948876426,-0.09271115740132653
2012,47.27650154797429,-0.04971877462075289
2013,57.07468405374854,-0.006664652849674851
2014,58.24232137185345,0.06898876286172133
2015,58.634812003213305,0.14435584785322636
2016,77.04148244249701,0.23668588762866083
2017,78.59756872141399,0.31642535070426636
2018,89.40822729296796,0.3929649416796863
2019,92.70020429675652,0.4814269908161895
2020,122.08537713422949,2.0672912423484293
2021,126.71849657271665,2.214597364675006
2022,161.83355664528636,2.3584424577091925
2023,167.21465395847554,3.1376167119518694
